reviewText,product,rating,price,reviewerID,reviewTime
"Battery easily lasts through a full day of heavy use with moderate screen-on time.",Apple iPhone 13,5.0,699.00,user_0001,2023-01-05
"Camera produces crisp daytime shots but struggles a bit in low light scenarios.",Apple iPhone 13,4.0,704.00,user_0002,2023-01-06
"Face ID works reliably and the build feels premium for the price.",Apple iPhone 13,5.0,699.00,user_0003,2023-01-07
"Battery degraded a bit faster than expected after several months of heavy gaming.",Apple iPhone 13,2.5,692.00,user_0004,2023-01-08
"Speakers are loud and clear, great for watching videos on the go.",Apple iPhone 13,4.5,699.00,user_0005,2023-01-09
"Occasional overheating during long camera shoots, but not a dealbreaker.",Apple iPhone 13,3.0,705.00,user_0006,2023-01-10
"The screen is bright and color-accurate; everything looks great.",Apple iPhone 13,5.0,699.00,user_0007,2023-01-11
"I experienced one unexpected reboot after an update; stability has improved since.",Apple iPhone 13,3.5,698.00,user_0008,2023-01-12
"Excellent performance for multitasking and gaming, no stutters.",Apple iPhone 13,5.0,709.00,user_0009,2023-01-13
"Wireless charging is convenient but a bit slower than wired charging.",Apple iPhone 13,4.0,699.00,user_0010,2023-01-14
"Battery life is fine for casual users but heavy users will need a charger by evening.",Apple iPhone 13,3.5,695.00,user_0011,2023-01-15
"The camera portrait mode is excellent with natural blur and edge detection.",Apple iPhone 13,5.0,699.00,user_0012,2023-01-16
"Not impressed with the price-to-storage ratio; wish base storage was larger.",Apple iPhone 13,3.0,719.00,user_0013,2023-01-17
"Build quality feels premium and the phone has held up well to daily drops.",Apple iPhone 13,4.5,699.00,user_0014,2023-01-18
"iOS updates are smooth and battery optimization has helped a lot.",Apple iPhone 13,5.0,699.00,user_0015,2023-01-19
"Screen protector needed quickly; glass picks up scratches easily.",Apple iPhone 13,3.0,696.00,user_0016,2023-01-20
"The camera excels at video stabilization — very smooth footage.",Apple iPhone 13,5.0,699.00,user_0017,2023-01-21
"Price is steep compared to mid-range alternatives with similar performance.",Apple iPhone 13,3.0,725.00,user_0018,2023-01-22
"Battery charges quickly with high-watt wired charger; very convenient.",Apple iPhone 13,4.5,699.00,user_0019,2023-01-23
"Excellent ecosystem integration with other Apple devices I own.",Apple iPhone 13,5.0,699.00,user_0020,2023-01-24
"Rear camera housing gets smudges easily but image quality remains good.",Apple iPhone 13,4.0,701.00,user_0021,2023-01-25
"Signal reception is solid, no issues with calls or mobile data.",Apple iPhone 13,4.0,699.00,user_0022,2023-01-26
"The UI feels polished and responsive; recommended for users who want reliability.",Apple iPhone 13,5.0,699.00,user_0023,2023-01-27
"Pricey accessories add up; be prepared to spend more for a case and charger.",Apple iPhone 13,3.0,699.00,user_0024,2023-01-28
"Good battery management but heavy camera/GPS use drains it faster than expected.",Apple iPhone 13,3.5,695.00,user_0025,2023-01-29
"Photos are color-accurate and sharp; night mode has improved a lot.",Apple iPhone 13,5.0,699.00,user_0026,2023-01-30
"I miss a higher refresh rate screen — 60Hz feels dated for games.",Apple iPhone 13,3.0,699.00,user_0027,2023-01-31
"Fast and stable Bluetooth connection for my earbuds.",Apple iPhone 13,4.5,699.00,user_0028,2023-02-01
"The phone feels heavy after long phone calls; ergonomics could be better.",Apple iPhone 13,3.0,693.00,user_0029,2023-02-02
"Battery saver modes are effective and extend usage significantly.",Apple iPhone 13,4.0,699.00,user_0030,2023-02-03
"Occasional app compatibility issues with older apps, but mostly fine.",Apple iPhone 13,3.5,698.00,user_0031,2023-02-04
"Display brightness in sunlight is excellent; I can read my screen outdoors.",Apple iPhone 13,5.0,699.00,user_0032,2023-02-05
"Great phone overall; I replaced my older model and it's a solid upgrade.",Apple iPhone 13,5.0,699.00,user_0033,2023-02-06
"Customer support resolved my issue promptly which was reassuring.",Apple iPhone 13,4.5,699.00,user_0034,2023-02-07
"Fingerprint or under-screen biometrics would be a nice addition.",Apple iPhone 13,3.0,699.00,user_0035,2023-02-08
"I use it for streaming and the battery holds up decently for a few hours.",Apple iPhone 13,4.0,699.00,user_0036,2023-02-09
"Minor software bugs early on but patched quickly via updates.",Apple iPhone 13,4.0,699.00,user_0037,2023-02-10
"Stylish design and reliable daily performance — worth considering.",Apple iPhone 13,4.5,699.00,user_0038,2023-02-11
"I upgraded storage and noticed much faster load times for large apps.",Apple iPhone 13,4.5,719.00,user_0039,2023-02-12
"Overall a great camera phone with balanced battery and performance.",Apple iPhone 13,5.0,699.00,user_0040,2023-02-13
"Great value when found on discount; otherwise price feels steep.",Samsung Galaxy S21,4.0,799.00,user_0041,2023-02-14
